town,fips,planning_region,gap,Colleges & Hospitals PILOT,DECD PILOT Grant,DECD Tax Abatement,Disability Exemption,Elderly Circuit Breaker,Elderly Freeze,LoCIP,Pequot Grants,State Property PILOT,Town Aid Road,Veterans' Exemption,totalaid,population,fy15_pc_aid
Brooklyn,901509190,Northeast CT,327,0,0,0,885.71,53860.87,1459.75,72385,225240.09,153425.43,241660,4233.77,753150.62,8671,86.85856533
Burlington,900310100,Northwest Hills,-138,0,0,0,382.86,33232.6,0,74005,21865.51,55498.43,259536,1747.71,446268.11,9618,46.39926284
Canaan,900510940,Northwest Hills,-805,2093.13,0,0,77.56,12551.74,0,19394,9492.92,108377.49,169401,1405.58,322793.42,1233,261.79515
Canterbury,901512130,Northeast CT,237,0,0,0,714.7,38418.41,0,55431,37278.55,10752.17,224492,6415.1,373501.93,5332,70.04912416
Canton,900312270,Capitol Region,-227,0,0,0,947.99,62443.34,0,68569,24270.41,31365.2,261055,2757.1,451408.04,10846,41.61977134
Chaplin,901513810,Northeast CT,416,0,0,0,451.44,18014.66,0,27157,83587.3,63646.57,189072,398.5,382327.47,2293,166.7367946
Cheshire,900914160,Naugatuck Valley,-112,129632.06,0,0,1856.44,166637.46,0,180905,2154316.06,2139714.77,404067,12533.49,5189662.28,29275,177.2728362
Chester,900714300,Lower CT River Valley,-193,0,0,0,190.4,21939.43,0,28576,14916.6,14715.89,190075,2803.38,273216.7,3996,68.37254755
Clinton,900715350,Lower CT River Valley,-334,0,0,0,1052.46,116201.41,2000,84464,38992.83,36598.12,269158,19929.46,568396.28,13125,43.30638324
Colchester,901115910,Southeastern CT,158,0,0,0,1980.31,48856.73,0,116846,71475.51,58290.87,348769,6514.22,652732.64,16543,39.45672732
Colebrook,900516050,Northwest Hills,-292,0,0,0,165.87,9417.21,0,24968,10461.41,7369.59,200862,4508.67,257752.75,1480,174.1572635
Columbia,901316400,Capitol Region,-62,0,0,0,786.23,33220.63,0,39504,21149.17,7577.06,205576,2544.64,310357.73,5665,54.78512445
Cornwall,900517240,Northwest Hills,-2159,125431737,1779730,1372414,400000,20504949.36,120870.8,29971781,61779907.09,83641646,59772167,2970098,387745300.3,1384,280162.7892
Coventry,901317800,Capitol Region,121,0,0,0,126.04,13811.49,0,32618,8441.9,19317.91,223417,805.51,298537.85,12780,23.35976917
Cromwell,900718080,Lower CT River Valley,19,0,0,0,1725.2,65448.63,0,101904,48216.49,51558.52,297200,6123.97,572176.81,14470,39.54228127
Danbury,900118500,Western CT,198,57826.87,0,0,877.03,72980.42,0,83041,45990.35,19754.03,277817,4031,562317.7,84146,6.682643263
Darien,900118850,Western CT,-3782,1344343.21,140991,0,4751.99,369888.68,0,557492,951066.29,2413997.4,855534,23983.91,6662048.48,20732,321.3413313
Deep River,900719130,Lower CT River Valley,-296,0,0,0,217.5,64449.48,0,111194,9582.02,108593.96,335085,1920.3,631042.26,4581,137.752076
Derby,900919550,Naugatuck Valley,632,0,0,0,286.77,38222.51,0,30364,15372.73,11165,198719,3380,297510.01,13239,22.47224186
Durham,900720810,Lower CT River Valley,-231,894900.79,0,0,2241.49,95384.92,0,106011,254882.72,45384.56,265911,23622.48,1688338.96,7623,221.479596
East Granby,900322070,Capitol Region,-266,0,0,0,877.78,40872.09,0,52321,23579.22,19798.49,222769,18472.11,378689.69,5270,71.85762619
East Haddam,900722280,Lower CT River Valley,-139,0,0,0,152.41,21609.86,0,34522,17361.42,28827.87,201944,4833.03,309250.59,9341,33.10679692
East Hampton,900722490,Lower CT River Valley,-34,0,0,0,532.08,65124.74,0,88338,29779.37,44041.8,329648,5442.61,562906.6,12740,44.18419152
East Hartford,900322630,Capitol Region,740,0,0,0,1247.92,47040.16,0,89318,61488.1,117635.52,322948,4343.77,644021.47,52305,12.31280891
East Haven,900922910,South Central,343,520320.39,38734,0,11510.57,376495.27,0,448528,308116.14,790945.48,587141,41534.08,3123324.93,29696,105.1766208
East Lyme,901123400,Southeastern CT,-321,0,0,0,5408.06,321857.6,7334,214564,161176.8,379020.31,402897,83313.16,1575570.93,19162,82.22372038
East Windsor,900324800,Capitol Region,112,42921.14,0,0,1392.79,98177.64,0,118828,333126.08,1028645.34,318395,21620.42,1963106.41,11879,165.258558
Eastford,901521860,Northeast CT,43,0,0,0,1615.81,81720.89,0,78232,48441.54,118146.26,267394,6764.74,602315.24,1822,330.5791658
Easton,900123890,Greater Bridgeport,-1132,0,0,0,147.97,16623.02,0,22868,14309.08,7020.8,174957,609.92,236535.79,7411,31.91685198
Ellington,901325360,Capitol Region,73,0,0,0,101.94,31555.28,0,66516,10636.14,63586.24,227805,7620.25,407820.85,16878,24.16286586
Enfield,900325990,Capitol Region,321,0,0,0,1736.86,71952.88,0,105415,54190.55,7900.45,339904,18455.07,599554.81,43570,13.7607255
Essex,900726270,Lower CT River Valley,-1063,29052.43,87821,0,6019.86,325605.41,2000,320305,1449946.34,1301830.79,534951,40299.46,4097831.29,6644,616.7717173
Fairfield,900126620,Greater Bridgeport,-885,15084.99,0,0,178.91,31986.98,0,40043,13554.92,10949.05,215183,3404.21,330385.06,59254,5.575742735
Farmington,900327600,Capitol Region,-517,2641400.57,0,0,3956.33,445900.34,2000,370404,292352.82,35231.01,711140,149218,4651603.07,26092,178.2769841
Franklin,901129910,Southeastern CT,-95,31717.62,0,0,895.76,141279.59,0,136925,31383.18,3507095.39,372988,5284.98,4227569.52,1964,2152.530305
Glastonbury,900331240,Capitol Region,-317,0,0,0,168.56,13568.31,0,17711,15254.42,17425.76,129457,1240.94,194825.99,35278,5.5225917
Goshen,900532290,Northwest Hills,-1328,1727.84,0,0,2811.67,150681.84,0,203659,40104.92,50469.28,465108,11962.11,926524.66,3095,299.3617641
Granby,900332640,Capitol Region,-78,0,0,0,229.11,17436.95,0,42696,10587.95,18576.4,276087,2446.64,368060.05,11534,31.91087654
Greenwich,900133620,Western CT,-5110,0,0,12974,1211.03,67715.49,0,79327,28113.1,13380.53,259653,3859.68,466233.83,60471,7.710040019
Griswold,901133900,Southeastern CT,376,897964.82,100286,0,299.21,179253.82,2000,319795,98189.28,25772.38,747652,32177.39,2403389.9,12584,190.9877543
Groton,901134250,Southeastern CT,-61,0,0,0,1083.64,43852.17,0,91869,103448.72,66818.5,191998,9135.66,508205.69,39179,12.97137982
Guilford,900934950,South Central,-641,50292.19,0,0,2824.19,133163.9,2000,211921,1390132.65,1164258.64,377392,11397.2,3343381.77,22481,148.7203314
Haddam,900735230,Lower CT River Valley,-291,19423.28,0,0,2220.31,151093.85,2437.09,137609,31928.88,20784.52,360844,17523.46,743864.39,8784,84.68401526
Hamden,900935650,South Central,336,0,0,0,828.9,47570.08,0,73867,23383.84,69811.54,244273,6395.6,466129.96,63231,7.371858108
Hampton,901536000,Northeast CT,204,3026410.59,0,0,9286.38,399619.94,2000,431930,939097.19,1015382.3,668305,143885.91,6635917.31,1889,3512.926051
Hartford,900337070,Capitol Region,1330,0,0,0,532.15,15129.56,0,28035,14750.23,30685.62,188095,1061.35,278288.91,125999,2.208659672
Hartland,900337140,Northwest Hills,126,25279197.56,482774,298544,8231.72,353811.73,2000,1976067,6652859.78,14816240.84,1202455,55360.33,51127541.96,2104,24300.16253
Harwinton,900537280,Northwest Hills,-144,0,0,0,167.06,13536.91,0,19057,13886.43,104841.42,143026,1135.28,295650.1,5742,51.48904563
Hebron,901337910,Capitol Region,70,0,0,0,275.14,39684.72,0,49911,17719.17,7749.07,227680,1702.65,344721.75,9979,34.54471891
Kent,900540290,Northwest Hills,-1334,0,0,0,761.81,31423.02,0,69933,30564.4,15564.31,241561,3323.84,393131.38,3008,130.6952726
Killingly,901540500,Northeast CT,369,0,0,8533,130.64,21092.08,0,41921,10105.47,61483.97,281659,723.37,425648.53,17738,23.99642181
Killingworth,900740710,Lower CT River Valley,-350,0,0,0,4762.35,154287.65,0,143681,158610.05,278145.79,362264,11582.15,1113332.99,6608,168.4825953
Lebanon,901142390,Southeastern CT,111,0,0,0,334.53,39306.13,0,53343,18279.69,103880.26,252854,5446.53,473444.14,7476,63.32853665
Ledyard,901142600,Southeastern CT,249,0,0,0,697.06,35568.11,0,72023,36533.42,33143.03,317096,3920.18,498980.8,15016,33.2299414
Lisbon,901143230,Southeastern CT,63,0,0,0,1044.91,69112.71,0,111385,949184.23,693547.7,296103,5022.49,2125400.04,4435,479.2333799
Litchfield,900543370,Northwest Hills,-497,0,0,0,531.87,20725.36,0,28353,29329.36,7577.06,176428,2334.27,265278.92,8465,31.33832487
Lyme,901144210,Lower CT River Valley,-2147,0,0,0,451.07,61507.4,0,81931,21684.79,80000.02,382385,4133.9,632093.18,2556,247.2978013
Madison,900944560,South Central,-1145,194.77,0,0,0,19827.61,0,25763,9112.73,16460.9,180143,410.28,251912.29,18133,13.89247725
Manchester,900344700,Capitol Region,375,0,0,0,815.25,98800.25,0,110451,20365.65,540719.33,313685,26533.85,1111370.33,60815,18.27460873
Mansfield,901344910,Capitol Region,730,866237.22,0,0,7273.11,296634.03,0,422712,598186.04,844806.33,646353,73784.4,3755986.13,26967,139.2808295
Marlborough,900345820,Capitol Region,35,0,10028,0,1340.31,52550.55,0,184935,207662.05,7656351.48,415303,6626,8534796.39,6580,1297.081518
Meriden,900946520,South Central,607,0,0,0,696.98,21164.9,0,50347,18228.53,16533.94,212383,1951,321305.35,62067,5.176750125
Middlebury,900946940,Naugatuck Valley,-357,1256048.27,138706,0,14593.64,445806.35,2000,509499,907030.57,432065.03,669183,59289.81,4434221.67,8049,550.9034253
Middlefield,900747080,Lower CT River Valley,-92,0,0,0,825.27,43679.09,0,55344,18094.37,20088.53,222906,4709.4,365646.66,4477,81.67224927
Middletown,900747360,Lower CT River Valley,306,0,0,0,520.42,38928.7,0,31698,21025.49,10410.78,197344,8882.72,308810.11,49482,6.240857484
Milford,900947535,South Central,161,4095248.46,141931,90070,3987.34,217709.98,4000,313567,1253269.84,2573487.23,597667,11836.92,9302774.77,53062,175.3189622
Monroe,900148620,Greater Bridgeport,-210,448474.61,0,0,6220.69,469538.55,0,351019,399010.29,556476.82,585695,149981.23,2966416.19,19300,153.7003207
Montville,901148900,Southeastern CT,299,0,0,0,2306.91,179817.85,0,134631,35496.72,11951.5,351766,10479.93,726449.91,21824,33.28674441
Morris,900549460,Northwest Hills,-842,0,0,0,3276.18,108059.81,0,145652,1068665.31,1979858.84,327476,9463.93,3642452.07,2435,1495.87354
Naugatuck,900949950,Naugatuck Valley,506,0,0,0,133.53,14736.88,0,21705,11261.75,17550.14,177379,345.68,243111.98,32438,7.494666132
New Britain,900350440,Capitol Region,1056,0,0,0,18418.33,220771.03,0,248445,218528.97,91304.75,424180,38157.12,1259805.2,74554,16.89788878
New Canaan,900150580,Western CT,-3703,2692729.89,0,37425,9614.58,399778.94,2000,991377,2298648.66,3710092.99,770020,31362.53,10943049.59,19695,555.6257725
New Fairfield,900150860,Western CT,-353,0,0,0,158.95,26211.19,0,115715,9292.75,47151.27,330869,1380.35,530778.51,13620,38.97052203
New Hartford,900551350,Northwest Hills,-110,0,0,0,1556.07,89316.13,0,80517,26467.8,20607.21,276563,16292.9,511320.11,7294,70.10146833
New Haven,900952070,South Central,1101,0,0,0,471.87,33780.65,0,63013,21795.87,19653.99,269858,3206.58,411779.96,135175,3.046273053
New London,901152350,Southeastern CT,896,43465331.53,0,84958,10427.76,426816.3,2000,1648668,6537303.87,6879419.01,1251332,54310.53,60360567,25729,2346.012943
New Milford,900552630,Western CT,-178,5032101.74,0,0,2816.8,94560.25,0,308565,1807956.26,414949.43,390188,7693.02,8058830.5,28231,285.4603273
Newington,900352140,Capitol Region,94,228085.5,0,0,2488.3,139050.52,0,192049,84077.49,32756.13,558293,11810.92,1248610.86,31487,39.65480548
Newtown,900152980,Western CT,-289,1633915.17,0,0,5467.95,273013.85,6000,209032,254786.28,749382.79,415388,30385.24,3577371.28,28105,127.2859377
Norfolk,900553470,Northwest Hills,-1006,0,0,0,1930.67,149044.47,0,207562,952649.22,946196.9,469220,15992.89,2742596.15,1711,1602.920018
North Branford,900953890,South Central,-67,47767.14,0,0,305.62,10507.2,0,31899,14208.34,90247.8,251076,957.85,446968.95,14469,30.8914887
North Canaan,900554030,Northwest Hills,-2,2433.81,0,0,2275.32,120167.07,2000,88887,45448.75,5679.62,281428,13973.05,562292.62,3330,168.8566426
North Haven,900954870,South Central,-254,0,0,0,257.84,31342.49,0,29971,25739.77,25016.58,188363,902.62,301593.3,24579,12.27036495
North Stonington,901155500,Southeastern CT,-245,647578.86,0,0,3709.23,215596.73,0,154749,158405.67,119369.41,360171,32137.73,1691717.63,5328,317.5145702
Norwalk,900156060,Western CT,-318,0,0,0,550.84,40436.26,0,47925,893855.48,23626.18,239744,5989.16,1252126.92,87329,14.33804257
Norwich,901156270,Southeastern CT,619,1571461.46,0,11482,3145.52,447973.15,14783.05,631512,855994.69,404528.06,887652,4248.59,4832780.52,42810,112.8890568
Old Lyme,901157040,Lower CT River Valley,-1698,810449.18,129713,0,5952.13,212308.96,2000,320837,2002691.82,804820.88,501077,27291.18,4817141.15,7576,635.8422848
Old Saybrook,900757320,Lower CT River Valley,-1647,35058.94,0,0,197.41,29421.45,0,49195,15319.17,30352.17,229908,5552.48,395004.62,9993,39.52813169
Orange,900957600,South Central,-247,0,0,0,362.68,75256.13,0,67011,18009.39,60806.5,247093,12703.91,481242.61,14242,33.79038127
Oxford,900958300,Naugatuck Valley,-142,248667.87,0,0,735.08,88748.78,0,100913,49247.07,11829.23,275147,4372.91,779660.94,13791,56.53403959
Plainfield,901559980,Northeast CT,410,0,0,0,1038.71,36912.77,0,95377,34508.94,252505.19,273845,6146.25,700333.86,15759,44.44024748
Plainville,900360120,Capitol Region,298,43393.25,0,0,3184.05,117199.62,0,129537,182339.83,57394.81,290104,6473.23,829625.79,18145,45.72200551
Plymouth,900560750,Naugatuck Valley,361,0,0,0,3923.69,152604.49,2000,124459,86023.25,17663.93,307546,23686.37,717906.73,12550,57.20372351
Pomfret,901561030,Northeast CT,172,0,0,0,2673.43,93020.59,0,94231,71533.94,12212.43,262226,8903.38,544800.77,4473,121.7976235
Portland,900761800,Lower CT River Valley,92,0,0,0,411.35,20769.6,0,46820,22647.6,48075.38,242643,5609.99,386976.92,9815,39.42709322
Preston,901162150,Southeastern CT,59,0,0,0,731.38,56323.24,0,63149,33088.13,27555.5,240103,6077.63,427027.88,4739,90.10928044
Prospect,900962290,Naugatuck Valley,14,0,0,0,335.3,25945.38,0,44286,1183655.85,16401.62,199909,1313.29,1471846.44,9659,152.3808303
Putnam,901562710,Northeast CT,573,0,0,0,988.06,75682.72,0,66103,37247.42,2055.16,240207,18924.67,441208.03,9935,44.40946452
Redding,900163480,Western CT,-1096,232492.63,0,0,1815.83,75560,0,84782,119285.29,33308.69,238506,3062.88,788813.32,9196,85.77787299
Ridgefield,900163970,Western CT,-1350,0,0,0,246.42,22700.84,0,69362,11693.72,179434.4,268879,1116.36,553432.74,24621,22.47807725
Rocky Hill,900365370,Capitol Region,-32,0,0,0,1019.82,60087.73,0,153327,16612.43,148889.04,378878,1635.48,760449.5,20556,36.99404067
Roxbury,900565930,Northwest Hills,-2679,0,0,0,1155.1,120379.38,0,113558,281887.81,933775.41,341316,10694.48,1802766.18,2297,784.8350805
Salem,901166210,Southeastern CT,-75,0,0,0,102.79,12279.58,0,35916,8369.67,4280.75,329802,522.87,391273.66,4244,92.1945476
Salisbury,900566420,Northwest Hills,-2531,0,0,0,159.05,15260.57,0,33666,21968.03,71139.48,193620,1645.26,337458.39,3619,93.24630837
Scotland,901567400,Northeast CT,202,0,0,0,71.6,10989.8,0,43871,9433.03,8250.82,292128,1054.19,365798.44,1783,205.158968
Seymour,900967610,Naugatuck Valley,331,0,0,0,542.27,9564.24,0,21198,17603.83,25201.83,153925,531.3,228566.47,17014,13.43402316
Sharon,900567960,Northwest Hills,-1952,0,68127,0,2701.53,124797.06,0,115583,78392.55,22330.52,297032,18154.52,727118.18,2676,271.7183034
Shelton,900168170,Naugatuck Valley,-128,0,4279,0,45.18,17627.72,0,49456,8890.88,18729.89,355320,3223.37,457572.04,39981,11.44473725
Sherman,900168310,Western CT,-1385,0,0,0,4088.97,249993.48,0,267034,80087.97,15668.05,495552,28925.95,1141350.42,3431,332.6582396
Simsbury,900368940,Capitol Region,-211,0,0,0,101.47,19453.41,0,26607,10407.61,14.29,204907,1379.01,262869.79,23343,11.2611828
Somers,901369220,Capitol Region,257,0,0,0,1404.86,76805.13,0,154713,33612.73,123398.76,361234,5826.26,756994.74,10774,70.26125302
South Windsor,900371390,Capitol Region,-105,0,0,0,597.59,59835.73,2000,87482,1700850.02,1499575.36,269120,8033.36,3627494.06,26089,139.0430473
Southbury,900969640,Naugatuck Valley,-124,0,0,0,1664.22,148758.82,2000,164723,60215.1,13220.69,380687,15025.74,786294.57,20277,38.77765794
Southington,900370550,Capitol Region,-3,0,0,0,1482.08,216143.43,0,132008,42711.38,298743.47,379296,14640.33,1085024.69,44295,24.49542138
Sprague,901171670,Southeastern CT,332,141492.6,0,0,5389.8,323276.02,0,280242,151249.74,26814.52,523137,55846.5,1507448.18,3016,499.8170358
Stafford,901372090,Capitol Region,367,0,0,0,369.92,8743.62,0,24806,31143.78,12256.89,151371,1256.78,229947.99,12381,18.57265084
Stamford,900173070,Western CT,-643,228369.44,0,0,2956.11,96507.59,0,109168,98482.83,55003.03,392105,37179.33,1019771.33,126810,8.041726441
Sterling,901573420,Northeast CT,315,1963213.67,237929,430338,2868.43,331756.51,2000,821608,926415.03,1510039.07,1204261,60209.07,7490637.78,4168,1797.17797
Stonington,901173770,Southeastern CT,-875,0,0,0,1125.53,21714.79,0,40587,35405.73,5951.67,192124,984.8,297893.52,18680,15.94719058
Stratford,900174190,Greater Bridgeport,299,0,0,0,1740.86,115987.48,3522.91,109956,40282.59,21560.96,298655,17288.45,608994.25,52338,11.63579522
Suffield,900374540,Capitol Region,37,0,65480,0,8594.47,539539.55,6000,391112,168339.23,400622.03,597569,138825.97,2316082.25,15768,146.8849727
Thomaston,900575730,Naugatuck Valley,284,0,0,0,1078.13,81549.91,1334,91360,2976970.56,2657587.53,291302,9062.11,6110244.24,8030,760.9270535
Thompson,901575870,Northeast CT,369,0,0,0,985.74,55138.5,0,53187,41316.78,40662.93,223708,10537.77,425536.72,9733,43.72102332
Tolland,901376290,Capitol Region,86,2481.58,0,0,2297.24,85421.12,0,89902,70913.45,11540.25,253138,18519.12,534212.76,15682,34.06534626
Torrington,900576570,Northwest Hills,403,0,0,0,1667.35,73126.3,0,115715,43715.4,52882.76,338861,7674.44,633642.25,36936,17.15513997
Trumbull,900177200,Greater Bridgeport,-281,254799.47,0,0,7165.42,327978.2,2000,258790,257270.86,249421.12,465796,31532.37,1854753.44,36207,51.22637722
Union,901377830,Northeast CT,48,18591.15,0,0,3361.5,245248.92,0,246276,53557.21,96877.99,464109,32937.41,1160959.18,912,1272.981557
Vernon,901378250,Capitol Region,503,0,0,0,24.72,1365.23,0,14950,22471.41,32010.38,124709,671.9,196202.64,29916,6.558451665
Voluntown,901178600,Northeast CT,257,339448.85,0,0,3260.39,143810.93,0,208454,177682.89,239452.81,402328,23275.43,1537713.3,2590,593.7116988
Wallingford,900978740,South Central,-58,60000,0,0,310.05,16959.31,0,24841,92538.47,87923.23,172352,2621.95,457546.01,46033,9.939521865
Warren,900579510,Northwest Hills,-1734,354182.58,0,0,3972.73,283946.05,2000,288056,172354.59,55743.48,542236,45207.4,1747698.83,1540,1134.86937
Washington,900579720,Northwest Hills,-3100,0,0,0,60.52,9278.77,0,21782,8782.03,14319.46,181621,1535.33,237379.11,3535,67.15109194
Waterbury,900980070,Naugatuck Valley,849,0,0,0,138.08,23768.11,0,52666,9437.84,34664.16,329042,1172.93,450889.12,112736,3.999513199
Waterford,901180280,Southeastern CT,-1073,5773417.71,0,259580,28716.02,723824.33,2000,1305413,3054883.56,4498583.17,1078651,147190.62,16872259.41,19543,863.3402963
Watertown,900580490,Naugatuck Valley,69,65721.44,0,0,2230.38,185748.55,2000,118570,51184.25,286127.21,321871,12278.83,1045731.66,22863,45.7390395
West Hartford,900382590,Capitol Region,250,0,0,0,1811.91,195741.97,0,156068,85337.04,35613.14,353011,33056.99,860640.05,63261,13.6045913
West Haven,900982870,South Central,750,1084553.96,0,0,6103.75,281353.61,0,436682,220031.54,301091.86,687452,69076.99,3086345.71,56172,54.94455796
Westbrook,900781680,Lower CT River Valley,-1183,6980086.28,0,0,6316.87,397345.59,12000,579476,985720.52,59578.59,621676,103273.69,9745473.54,7187,1355.9863
Weston,900183430,Western CT,-1908,18860.86,0,0,724.34,46931.63,0,42814,18947.37,30313.01,216968,13343.29,388902.5,10173,38.2288902
Westport,900183500,Western CT,-3622,0,0,0,264.78,17520.47,0,65206,9369.16,6603.73,251516,1145.01,351625.15,26271,13.38453618
Wethersfield,900384900,Capitol Region,140,184153.25,0,0,336.41,78044.64,0,145997,27989.49,828016.23,384848,10945.46,1660330.48,27051,61.37778566
Willington,901385950,Capitol Region,206,9178.44,21517,0,3468.79,234241.13,0,182902,219181.26,247200.83,403048,42784.11,1363521.56,6245,218.3381201
Wilton,900186370,Western CT,-1791,0,0,0,559.29,16657.72,0,59949,28761.76,46133.48,257809,844.58,410714.83,17914,22.92703081
Winchester,900586440,Northwest Hills,256,0,0,0,361.55,59164.04,0,112762,11265.37,96399.53,315846,4914.25,600712.74,11503,52.22226723
Windham,901586790,Southeastern CT,771,43134.39,0,0,1233.47,60406.77,0,89011,74634.76,80034.96,301370,2725.01,652550.36,25610,25.4802952
Windsor,900387000,Capitol Region,107,668311.65,56620,0,4933.51,109672.58,0,263899,892576.74,3047008.04,368387,13265.41,5424673.93,29455,184.1681864
Windsor Locks,900387070,Capitol Region,-27,0,0,0,2604.77,207551.58,0,180920,108632.03,55006.2,404234,21427.16,980375.74,12781,76.70571473
Wolcott,900987560,Naugatuck Valley,79,0,0,0,402.43,130731.07,0,79835,445189.28,94692.62,263475,13068.84,1027394.24,17287,59.43160988
Woodbridge,900987700,South Central,-467,0,0,0,2643.97,157101.02,0,113229,71259.93,2135.61,302219,20180.12,668768.65,8906,75.09192118
Woodbury,900587910,Naugatuck Valley,-379,97.97,0,0,864.4,38277.84,0,64474,13163.68,17555.43,241007,5266.41,380706.73,10234,37.20018859
Woodstock,,Northeast CT,78,0,0,0,853.82,49501.65,0,78210,19475.76,570.56,295851,2219.64,446682.43,8324,53.66199303
