town,population,total_aid,allocation,gap
Wellesley,27412,1095717,39.97216547,-1537.22
Wellfleet,2789,49439,17.72642524,-1761.42
Wendell,1002,147409,147.1147705,833.57
Wenham,4778,362308,75.82838008,-220.77
West Boylston,8109,673921,83.10778148,654.51
West Bridgewater,6699,553110,82.56605464,565.29
West Brookfield,3863,411975,106.6463888,690.69
West Newbury,4406,250622,56.88197912,-174.66
West Springfield,28165,3031424,107.6308894,1056.96
West Stockbridge,1432,82240,57.4301676,117.33
West Tisbury,2701,157108,58.16660496,-2065.90
Westborough,18391,980165,53.29590561,233.19
Westfield,42133,5324736,126.3792277,1004.26
Westford,22624,1797543,79.4529261,318.63
Westhampton,1593,122567,76.94099184,689.31
